
BAR-BCL2-CASP8 complex	596 841 51283 
PCNA-KU antigen complex	5111 389901 7520 
CDC5L complex	8493 5356 9814 23451 10286 6626 6627 3312 7153 6925 6421 27316 5499 6632 119358 6634 5591 6427 6426 3608 10992 1778 10262 9689 10250 10985 988 51503 27339 22828 
TFIID complex, B-cell specific	6874 6908 6872 6878 6881 6877 6884 6882 6879 6883 6880 6875 
SMN complex, U7 snRNA specific	6628 6635 6636 6637 6634 134353 84967 
RET-Rai complex	5979 53358 
p300-CBP-p270 complex	8289 2033 1387 
ERG-JUN-FOS DNA-protein complex	2353 3725 2078 
TFIIIC containing-TOP1-SUB1 complex	7150 730602 2976 9329 9328 9330 
RAD50-MRE11-NBN-p200-p350 complex	4683 4361 10111 
SIN3-ING1b-complex I	10284 8819 648695 3065 5931 51742 3066 25942 3621 
Ubiquitin E3 ligase (FBXO31, SKP1A, CUL1, RBX1)	9978 6500 8454 79791 
ITK-SLP-76 complex, anti-TCR stimulated	3702 3937 
SNF2L-RSF1 complex	6594 51773 
Apoptosis- and splicing-associated protein complex (ASAP-S), SAP18-RNPS1-Acinus-S	10284 731091 22985 
MAF1 complex	5925 10934 93621 
C complex spliceosome	9092 10236 5356 9716 10492 51362 23451 652147 653889 10569 25949 3183 6629 3178 6627 652607 6628 1655 3181 3187 27316 9775 23517 220988 4670 3185 4116 3190 6635 6636 6637 648229 6632 119358 6634 3192 7307 6426 10946 10992 653155 22938 642236 1659 9343 23450 8175 10291 55596 10283 10189 10250 58509 9785 23398 8220 9410 988 55094 84292 9416 51340 53938 5411 60625 57703 56949 55696 51503 24144 51428 22913 57461 27339 10450 23524 57819 51645 9939 
Ku antigen-NARG1 complex	389901 7520 80155 
Ubiquitin E3 ligase (ASB2, TCEB1, TCEB2, CUL5, RNF7)	649647 6923 8065 51676 9616 
BLOC-1 (biogenesis of lysosome-related organelles complex 1)	23557 2647 388552 282991 63915 84062 55330 26258 
TFIIH transcription factor core complex	2071 2965 653238 2967 2968 
Tankyrin 1-tankyrin 2-TRF1 complex	8658 7013 80351 
ERBB2-MEMO-SHC complex	2064 6464 731745 
Survivin homodimer complex	332 
RBP-Jkappa-RING1-KyoT2 complex	3516 6015 2273 
SNARE complex (VAMP3, VAMP4, VAMP8, STX6)	10228 8674 9341 8673 
NuA4/Tip60 HAT complex	8089 86 9643 6944 10524 57634 10902 80314 64769 55929 55257 54556 10934 10856 8607 8295 
MDC1-MRE11-RAD50-NBS1 complex	4683 4361 9656 10111 
TFIID-beta complex	6874 6908 6872 6878 6881 6877 6884 6882 6879 6883 6880 728198 
BRCA1-RAD50-MRE11-NBS1 complex	4683 672 4361 10111 
BRCA1 B complex	571 672 580 
ATR-ATRIP complex	651921 84126 
HBO1 complex	11143 79960 727773 9767 64769 23338 51147 
Septin complex	4735 989 23176 55752 10801 
SHC3-Gab1 complex	2549 53358 
Ecsit complex (ECSIT, MT-CO2, NDUFA1, MT-ND1, TRAF6, NDUFAF1)	4694 4513 4535 51295 51103 7189 
DNA ligase IV-XRCC4 complex (LX complex)	3981 7518 
N-CoR-SIN3-RPD3 complex	23309 3066 25942 9612 
MCM8-ORC2-CDC6 complex	4999 990 84515 
SMAD3-SMAD4-SP1 complex	6667 4088 4089 
HDAC1-associated protein complex	23028 9219 53615 648695 1107 3065 5931 8932 23186 
YY1-Notch1 complex	7528 4851 
Spliceosome	10643 1654 10915 23350 5496 1665 9128 9092 9129 10465 5356 7756 27336 11051 8449 9716 51362 55660 23451 652147 10286 22826 10285 653889 51747 10569 10421 25949 6629 6625 6626 6631 6627 652607 6628 1655 11338 9775 8896 23517 58517 22916 4236 4809 17149 20643 666609 67678 78651 20641 107686 67332 6434 27366 20383 7307 6427 9295 6426 6429 1660 4686 10946 3550 8683 6430 6431 23759 10992 653155 22938 8563 7919 1153 9584 1659 9589 9343 731091 23450 10262 8175 10291 7536 6432 11052 55234 55660 10713 25962 80145 10594 9879 10189 79228 10250 57187 58509 11017 26121 56259 9785 10521 23398 8220 9410 9984 84991 648933 64783 23013 988 8559 79002 84811 9416 51593 51340 53938 4343 57703 56949 55696 51755 51503 24144 22827 51428 51690 22985 57461 27339 10450 23524 730693 57819 51639 51645 25804 94104 9939 29105 
SRC-1 complex	6738 10499 8648 1387 
HDAC4-ERK1 complex	5595 9759 
NK-3-Groucho complex	579 4824 7088 7089 7090 7091 79816 
DNA polymerase alpha-primase complex	5422 5557 5558 23649 
MTA1-HDAC core complex	648695 9112 5931 3065 3066 
SMAD2-FAST1 complex	8928 4087 
LSD1 complex	23028 7764 3304 1487 3065 6239 51317 112885 10363 10362 55758 7750 23186 
RAD9-RAD1-HUS1-POLB complex	5810 3364 5423 5883 
MutL-alpha complex	4292 5395 
ITGA1-ITGB1-PTPN2 complex	3688 646981 3672 
Ubiquitin-protein-ligase (UBE2N, UBE2V2/MMS2)	7334 7336 
ITGAV-ITGB3-CD47-FCER2 complex	3690 2208 3685 961 
CCND1-CDK4 complex	1019 595 
ERCC1-ERCC4-MSH2 complex	2067 4436 2072 
Set1A complex	9739 11091 5929 730735 219771 9070 
TBPIP/HOP2-MND1 Complex	84057 29893 
SMCC complex	9443 9282 9862 10001 892 1024 9412 5469 9442 9968 84246 9477 9440 9969 9967 10025 51003 
SMAD4-SMAD2-SMAD3 complex	4088 4089 4087 
JBP1-pICln complex	10419 6628 1207 
LIG1-9-1-1 complex	5810 3364 3978 5883 
Anaphase-promoting complex	730594 8881 651763 8697 51434 51433 29945 650621 10393 
5S-DNA-TFIIIA-TFIIIC2 subcomplex	2976 2971 9329 9328 9330 
Polycomb repressive complex 1 (PRC1, hPRC-H)	8535 8467 3304 7528 648 653441 6015 84733 1912 80012 22955 6045 57332 
RNA polymerase II complex, chromatin structure modifying	2071 892 5430 2962 1024 6595 6597 2959 6598 9412 2967 1387 8850 
WNK1-OSR1 complex	9943 65125 
ITGA6-ITGB4-LAMA5 complex	3911 3691 3655 
HDAC1-associated core complex cI	23028 3065 23186 
Ubiquitin E3 ligase (FBXW11, SKP1A, CUL1, RBX1)	9978 6500 8454 23291 
Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26B)	6643 6642 112936 55737 51699 
CARMA1-BCL10-MALT1 complex	646626 84433 10892 
PKC-alpha-PLD1-PLC-gamma-2 signaling complex, lacritin stimulated	5336 5578 5337 
RalBP1-CDC2-CCNB1 complex	983 891 10928 
ITGAV-ITGB3-PXN-PTK2b complex	3690 3685 5829 2185 
ARC-L complex	9443 9282 9862 10001 892 1024 9412 5469 81857 9968 51586 9440 9969 9439 
BARD1-BRCA1-CSTF64 complex	1478 672 580 
ITGA4-ITGB1-EMILIN1 complex	3688 3676 11117 
DNA ligase IV-XRCC1 complex	7515 3981 
CD98-LAT2-ITGB1 complex	3688 23428 6520 8140 
ITGAV-ITGB1-SPP1 complex	3688 3685 6696 
20S methylosome and RG-containing Sm protein complex	10419 6628 1207 6632 119358 6634 
Kv4.2-DPP10 channel complex	57628 3751 
ASPP1-SAM68 complex	10657 23368 
PRMT1 complex	3276 
DGCR8 multiprotein complex	10236 3309 1655 4691 3187 2521 3192 1660 3609 54487 10521 
PC2 complex	9443 9282 9862 10001 9412 9442 84246 9477 9440 9967 10025 51003 
ITGAM-ITGB2-CD11 complex	3689 967 3684 
SMN-PolII-RHA complex	8487 6629 6628 6908 5430 50628 6638 2959 1660 11218 
AP1 adaptor complex	164 8906 8905 1174 162 8907 10053 
MDC1-H2AFX-TP53BP1 complex	3014 7158 9656 
ITGB1-NRP1 complex	8829 3688 
Protein phosphatase 4 complex	5531 151987 
PLC-gamma-2-Lyn-FcR-gamma complex	4067 2209 5336 
BRD4 complex	9282 904 23476 9862 1025 5469 9968 9440 
40S ribosomal subunit, cytoplasmic	6218 653162 6187 6188 651894 731572 6203 6193 732348 6224 6189 6201 642115 644790 6217 6208 6228 732299 647361 645630 6205 6191 6194 732104 6229 6230 647682 650788 2197 732088 6227 
CoREST-HDAC complex	23028 7764 3065 3066 51317 10362 23186 
Axin-SMAD3 complex	8312 4088 
ITGAV-ITGB3-LAMA4 complex	3690 3685 3910 
DA complex	6874 6908 6872 6878 2957 2958 6881 6877 6884 6882 6879 6883 6880 83860 6873 
Ubiquitin E3 ligase (CSN1, CSN8, HRT1, SKP1, SKP2, CUL1, CUL2, CUL3)	9978 6500 2873 6502 8454 8453 8452 10920 
PAC1-PAC2 complex	8624 56984 
PA28gamma complex	10197 
Ubiquitin E3 ligase (CDT1, DDB1, CUL4A, RBX1)	9978 8451 652672 81620 
Guanylyl cyclase, soluble (GUCY1A2, GUCY1B3)	2977 2983 
H2AX complex, isolated from cells without IR exposure	10236 6741 440577 3309 652607 3014 811 808 554313 6749 128312 51386 11198 
BLM complex II	6118 6117 6119 641 7156 80010 
SMN1-SIP1-SNRP complex	8487 6628 6635 6632 119358 6634 6607 
SIN3-ING1b-complex II	10284 8289 8819 86 6597 648695 6598 3065 5931 51742 6601 3066 6599 6602 25942 3621 
Profilin 1 complex	5216 3312 7415 71 1213 347733 
CRB1-MPP5-INADL complex	23418 64398 10207 
SMAD7-SMURF2 complex	4092 64750 
Respiratory chain complex I (incomplete intermediate ND1, ND2, ND3, CIA30 assembly), mitochondrial	4535 4536 4537 51103 
CAND1-CUL2-RBX1 complex	9978 8453 55832 
PSF-p54(nrb) complex	6421 4841 
DSS1 complex	66406 675 7979 54973 80789 55656 92105 114823 57508 55756 25896 55174 26512 
PA28-20S proteasome	5688 5689 5682 5683 5684 5685 5686 5692 5694 5693 5691 5690 5687 5720 5695 5721 
LIN9-BMYB complex	4605 286826 
TIM (TIMM23, TIMM50) complex, mitochondrial	10431 92609 
SIN3 complex	10284 8819 648695 3065 5931 3066 25942 
channel complex TRPM6-TRPM7	54822 140803 
55S ribosome, mitochondrial	6183 63931 9553 11222 9801 7818 6182 56945 64432 55173 60488 64969 92259 64963 64960 54460 65993 64968 64965 114294 10573 740 6150 51258 28977 116541 64928 219927 128308 124995 122704 64975 54534 84545 51263 23107 10240 79590 64978 64951 116540 51642 51069 64981 84311 64983 55052 28998 65005 51073 65008 64949 51253 29074 26589 65080 57129 10884 64976 63875 55168 29093 54948 54148 51318 29088 64979 51264 51650 28957 51373 51081 51116 65003 51021 51023 51649 28973 
CAK complex (Cdk-activating kinase complex)	1022 902 4331 
DNA ligase IV-condensin complex	3981 10051 
17S U2 snRNP	23350 1665 23451 22826 10285 6629 6627 3329 6628 11338 6635 6636 6637 6632 119358 6634 7307 6426 10946 10131 10992 23450 10262 8175 10291 9879 84844 10523 84991 83443 10362 22827 51639 
TIP60 histone acetylase complex	86 10524 10856 8607 8295 
DNA repair complex NEIL2-PNK-Pol(beta)-LigIII(alpha)-XRCC1	8566 5423 7515 3980 252969 
CBF1-HDAC1-SMRT complex	3516 3065 9612 
CRSP complex	9443 9282 9862 10001 9441 9412 5469 81857 51586 9440 9439 
Ubiquitin E3 ligase (DET1, DDB1, CUL4A, RBX1, COP1)	9978 8451 652672 55070 731621 
cMYC-ATPase-helicase complex	86 4609 10856 8607 8295 
Integrator-RNAPII complex	5430 5431 54973 65123 80789 55656 57117 92105 57508 55756 25896 55174 26512 
BRCA1-core RNA polymerase II complex	5433 5432 5434 5430 5431 5438 672 5437 5439 5440 5435 5436 5441 
NOS3-CAV1-NOSTRIN complex	4846 857 115677 
SIN3-SAP25 complex	10284 8819 648695 3065 5931 51742 3066 25942 79595 64426 
ITGAV-ITGB3-EGFR complex	1956 3690 3685 
ITGA2B-ITGB3-FN1-TGM2 complex	2335 3690 3674 7052 
RSmad complex	6597 4088 4089 4087 57492 6601 1387 6599 51592 8202 
DAB complex	6874 6908 6872 6878 2957 2958 2959 6881 6877 6884 6882 6879 6883 6880 83860 6873 
SWI-SNF chromatin remodeling-related-BRCA1 complex	86 672 6595 6597 6598 6601 6599 6603 6605 8289 57492 
RAD17-RFC-9-1-1 checkpoint supercomplex	5810 3364 5884 5984 5982 5985 5983 5883 
EXO1-MLH1-PCNA complex	5111 4292 9156 
Ubiquitin E3 ligase (CDC34, NEDD8, BTRC, CUL1, SKP1A, RBX1)	9978 6500 8454 4738 8945 
Toposome	3183 7153 1660 6749 10594 6732 9188 
Chromatin assembly complex (CAF-1 complex)	648695 10036 8208 
BRCA1-BARD1-UbcH5c complex	672 7323 580 
BHC complex (BRAF-histone deacetylase complex)	23028 3065 3066 51317 10362 23186 
ITGA4-ITGB1-CD53 complex	3688 3676 963 
TRAF6-TAK1 complex	6885 7189 
TFIIF complex (transcription factor IIF)	2963 2962 
RC complex during S-phase of cell cycle	142 5422 7150 6118 3978 890 1017 6117 5424 6119 5982 5981 5426 
RPA-MSH4-BLM complex	12144 68275 55993 68240 
RAD50-BRCA1 complex	672 10111 
HGF-Met complex	4233 3082 
SNARE complex (VAMP2, SNAP25, STX13)	6616 6844 23673 
ZNF198-PML complex	5371 7750 
p21(ras)GAP-Fyn-Lyn-Yes complex, thrombin stimulated	2534 7525 4067 5921 
N-CoR-HDAC3 complex	8841 6907 9611 2874 79718 
kinase-scaffold-phosphatase complex, PKA-AKAP79-CaN	5576 9495 5530 
ESCRT-III complex	27243 57132 92421 79643 29082 128866 5119 51510 25978 51652 
p400-associated complex	60 57634 10856 8607 8295 51412 86 
SNX complex (SNX1, SNX6)	6642 58533 
Integrator complex	54973 65123 80789 55656 57117 92105 57508 55756 25896 55174 26512 
PCNA-p21 complex	5111 1026 
SNARE complex (STX2, SNAP23)	8773 2054 
Ubiquitin E3 ligase (SMAD3, BTRC, CUL1, SKP1A, RBX1)	9978 6500 4088 8454 8945 
Histone H3.1 complex	8520 4678 554313 8968 648695 10036 8208 79711 55723 25842 
ITGA9-ITGB1-ADAM12 complex	8038 3688 3680 
Exon junction complex (mRNA splicing-dependent)	10594 10250 
MDC1-p53BP1-SMC1 complex	7158 9656 8243 
CENP-A NAC-CAD complex	1060 23421 401541 79682 55166 91687 378708 80152 55839 64105 79172 64946 79019 
p300-MDM2-p53 protein complex	7157 4193 2033 
FHL2-p53-HIPK2 complex	7157 2274 653052 
VEGF transcriptional complex	328 6774 3091 163732 4435 10370 
SLP-76-PLC-gamma-1-ITK complex, alpha-TCR stimulated	5335 3702 3937 
hs4 enhancer complex (slow migrating complex)	7528 5971 
Ecsit complex (ECSIT, MT-CO2, GAPDH, TRAF6, NDUFAF1)	4513 2597 51295 51103 7189 
ITGA2-ITGB1-COL6A3 complex	3688 1293 3673 
NuRD.1 complex	53615 648695 9112 1108 5931 3065 3066 57504 
RICH1-PAR3-aPKC polarity complex	5584 55114 56288 
F1F0-ATP synthase (EC 3.6.3.14), mitochondrial	10476 10632 4508 4509 516 506 522 515 642727 513 509 539 9551 514 521 93974 
p300-CBP-p270-SWI/SNF complex	8289 6597 2033 6598 6601 1387 6599 
MKK4-ARRB2-ASK1 complex	409 6416 4217 
ITGA3-ITGB1-THBS1 complex	3688 7057 3675 
Nup 107-160 subcomplex	6396 57122 23279 348995 79023 55746 81929 79902 
RICH1/AMOT polarity complex, Flag-Rich1 precipitated	832 154796 55114 64398 10207 30011 23607 830 829 
TRAF6 oligomer complex	7189 
Nop56p-associated pre-rRNA complex	10528 26156 292 6176 6181 6175 440577 6218 3178 7150 1938 6187 3007 651825 6129 6139 4691 2091 651894 11338 6137 647074 652036 6133 645231 6124 6727 653881 23521 11224 6157 647436 730700 6158 6203 6159 7284 9045 4670 4673 4809 6189 730343 730925 6155 6168 6201 642115 644790 6217 6208 6228 732299 647361 645630 6205 650992 59 652071 6194 9349 732104 6229 6156 6170 732015 4736 652162 6135 6132 72 4904 1915 6152 731645 653314 3192 7307 6142 646483 6141 1660 3608 3609 6949 11137 9221 55681 7846 55299 8971 6732 10969 8342 10514 26354 81027 9188 55131 55646 10642 51602 51631 651453 
TRF2-Rap1 complex III	7014 54386 
DNA ligase IV-XRCC4-XLF complex	3981 7518 79840 
SCF subcomplex (WEE1, SKP2, BTRC)	7465 6502 8945 
Prune-GSK3beta complex	2932 
TERF1 homodimer complex	7013 
TFTC-type histone acetyl transferase complex	9282 9862 2099 5469 2648 9968 9440 9969 9439 10025 8295 
NuA4/Tip60-HAT complex A	8089 86 26122 10524 57634 10902 80314 64769 55929 55257 54556 10934 10856 8607 8295 
NuA4/Tip60-HAT complex B	86 10524 80314 55929 10934 10856 8607 8295 
ATRX-DAXX complex	728849 1616 
SRCAP-associated chromatin remodeling complex	10467 8089 86 3015 6944 10847 55840 64431 10856 8607 
PLC-gamma-1-LAT-c-CBL complex, OKT3 stimulated	27040 5335 867 
hASC-1 complex	9325 10973 84164 
SNARE complex (VAMP3, STX6, VTI1A)	10228 9341 143187 
Ubiquitin E3 ligase (CHEK1, CUL1)	1111 8454 
OCT2-TLE4 complex	5452 7091 
RBP-Jkappa-SHARP complex	3516 23013 
LAT2-ITGB1 complex	3688 23428 
ITGAV-ITGB3-PPAP2b complex	8613 3690 3685 
ADAR1-CDK2 complex	1017 103 
Snurportin-CRM1-RanGTP complex	7514 10073 5901 
TRAP complex	9282 9862 10001 7067 892 9412 5469 9442 9968 84246 29079 9440 9969 9967 10025 51003 
RAD51B-RAD51C-RAD51D-XRCC2-XRCC3 complex	5890 5889 7517 7516 5892 
WICH complex	8467 9031 
Ubiquitin E3 ligase (CRY2, SKP1A, CUL1, FBXL3)	6500 8454 1408 26224 
RNA polymerase II holoenzyme complex	5433 2963 2068 5432 5434 2071 6908 5430 2960 2961 5431 2965 2962 5438 5437 5439 5440 5435 5436 5441 2959 653238 2967 2968 
ITGAV-ITGB3 complex	3690 3685 
RPAP1-Rpb2-Rpb3 complex	5432 5431 26015 
NDC80 kinetochore complex	10403 147841 83540 57405 
E-box sequence-binding complex	4005 4808 8861 84707 
Cleavage stimulation factor	1478 1477 1479 
Class C VPS/HOPS complex	5868 8411 64601 55823 57617 
CTF18-cohesion-RFC-POLH complex	5984 5982 5985 5983 54921 63922 79075 5429 
APLG1-Rababtin5 complex	164 9135 79874 
Er-alpha-p53-hdm2 complex	2099 7157 4193 
BRM-SIN3A-HDAC complex	8289 10419 86 6595 6598 6601 3066 6599 6603 6605 6602 25942 
RIAM-VASP complex	7408 54518 
Ubiquitin E3 ligase (SKP1A, FBXW2, CUL1)	6500 8454 26190 
Postsplicing complex	731091 5976 65109 65110 26019 10482 9939 
FEN1-9-1-1 complex	5810 3364 2237 5883 
LMO4-BRCA1-CTIP-LDB1 complex	672 8543 8861 5932 
BRCA1-BARD1-BRCA2-DNA damage complex III	672 675 580 
Ubiquitin E3 ligase (WSB1, TCEB1, TCEB2, CUL5, RBX1)	9978 649647 6923 8065 26118 
FOXO3-TP53 complex, oxidative stress stimulated	2309 7157 
HDAC2-asscociated core complex	9219 53615 648695 1107 5931 3066 54815 57459 
ITGA2B-ITGB3-CIB1 complex	3690 3674 10519 
RFC complex	5984 5982 5981 5985 5983 
ITGA2-ITGB1-CD47 complex	3688 3673 961 
SMAD3-SMAD4-FOXO1 complex	4088 2308 4089 
FYB-CARMA1-BCL-10-MALT1 complex	2533 646626 84433 10892 
CAND1-CUL4A-RBX1 complex	9978 8451 55832 
TGF-beta receptor I-Axin-SMAD3 complex	8312 7046 4088 
DNA repair complex NEIL1-PNK-Pol(beta)-LigIII(alpha)-XRCC1	8566 5423 7515 3980 79661 
ALL-1 supercomplex	10284 8467 23028 8819 9219 53615 6908 6872 6878 6595 11091 5901 4297 648695 6598 1107 3065 9343 5929 6883 5931 6880 6601 3066 8189 6599 25942 53981 
RNA polymerase II (RNAPII)	5433 2963 5432 5434 5430 5431 2962 5438 5437 5439 5440 5435 5436 5441 2959 26015 9150 
Ectodermin-SMAD4 complex	4089 51592 
SNX complex (SNX1a,SNX2,SNX4,LEPR)	6643 8723 3953 6642 
PCNA-CHL12-RFC2-5 complex	5111 5984 5982 5985 5983 63922 
PPP4C-PPP4R2-Gemin3-Gemin4 complex	50628 5531 151987 11218 
Ubiquitin E3 ligase (SKP1A, SKP2, CUL1)	6500 6502 8454 
SRm160-SRm300 complex	10250 23524 
ETS2-ERG complex	2078 2114 
GPR56-CD81-Galphaq/11-Gbeta complex	975 9289 2784 2782 2783 59345 2767 2776 
R/M complex (RAD50-MRE11 complex)	4361 10111 
DNA ligase III-XRCC1-PNK-DNA-pol III multiprotein complex	5423 7515 3980 11284 
SNX complex (SNX1a,SNX2,SNX4)	6643 8723 6642 
Large Drosha complex	1654 9987 1665 1655 3187 2521 4670 3192 2130 3608 3609 23435 54487 1653 8148 10521 6732 11100 29102 22913 
MBD1-MCAF1-SETDB1 complex	9869 55729 4152 
TREX complex	8563 7919 80145 10189 79228 57187 9984 648933 
Prune/Nm23-H1 complex	4830 
POSH-AKT2 complex	208 
MSH4-MSH5-GPS2 complex	4438 4439 2874 
IKK complex (NEMO)	
CAK-ERCC2 complex	2068 1022 902 4331 
BRCA1-CtIP-CtBP complex	672 1487 5932 
MeCP2-SIN3A-HDAC complex	4204 3065 3066 25942 
MLL-HCF complex	4221 3053 3054 11091 4297 5929 9070 
ESCRT-I complex	55048 7251 51160 
NUMAC complex (nucleosomal methylation activator complex)	8289 6597 60 6598 6601 6599 6605 6602 57410 
MAD1-mSin3A-HDAC2 complex	4084 3066 25942 
ITGA5-ITGB1-FN-1-NOV complex	2335 3688 3678 4856 
STAT6-p100-RHA complex	6778 1660 27044 
mTOR-signaling complex (mTOR/FRAP1, RAPTOR)	2475 57521 
TIN2 complex	7014 65057 26277 25913 
ITGAV-ITGB8-MMP14-TGFB1 complex	7040 3685 3696 4323 
Ubiquitin E3 ligase (ASB12, TCEB1, TCEB2, CUL5, RNF7)	649647 6923 142689 8065 9616 
SNARE complex (VAMP2, SNAP25, STX1a, STX3, CPLX1, CPLX3, CPLX4)	10815 6616 6844 6809 6804 339302 594855 
PU.1-SIN3A-HDAC complex	6688 3065 25942 
SNARE complex (RINT1, ZW10, p31)	9183 5714 60561 
PAC3-PAC4 complex	84262 
hs4 enhancer complex (faster migrating complex)	5452 5451 4790 7528 5970 
Complexin complex (STX3,CPLX1,CPLX3)	10815 6809 594855 
ITGA5-ITGB1-FN1-TGM2 complex	2335 3688 3678 7052 
RHOA-IP3R-TRPC1 complex	7220 387 3708 
mTOR-signaling complex (FRAP1/mTOR, GBL, RAPTOR)	2475 57521 64223 
EBAFb complex	86 6597 4298 6598 57492 6601 6599 6603 6605 6602 
TRP1-G alpha-11-IP3R3-CAV1 signaling complex	2767 7220 857 3710 
Polycystin-1-E-cadherin-beta-catenin complex	999 1499 5310 
Rap1 complex	7013 7014 10111 65057 26277 25913 54386 
PCAF complex	6871 8464 10474 27097 6881 6883 6880 8850 8295 10629 
Ubiquitin E3 ligase (FBXO18, SKP1A, CUL1, RBX1)	9978 6500 8454 84893 
Prune-Gelsolin complex	2934 
Molybdopterin synthase	4338 4338 
KCNQ1 macromolecular complex	3784 10142 5576 5577 730418 5568 5567 5501 5499 5500 
BKCA-beta2AR-AKAP79 signaling complex	154 9495 
Ubiquitin E3 ligase (SPOP,DAXX, CUL3)	8405 8452 1616 
Y14-Magoh complex	4116 9939 
pRB-E2F-1 complex	5925 1869 
NuMA-LGN-G-alpha-i-1 complex	2770 29899 4926 
CCND2-CDK6 complex	894 1021 
60S ribosomal subunit, cytoplasmic	6176 6181 6175 651825 6129 6139 6137 647074 652036 6133 645231 6124 653881 23521 11224 6157 647436 730700 6158 6159 731916 9045 730343 730925 6155 6168 6167 650992 652071 9349 6156 6170 732015 4736 652162 6135 6132 6171 7311 6169 6152 731645 653314 6142 646483 6141 651453 
DNMT1-G9a-PCNA complex	5111 1786 10919 
TRAF2-MALT1 complex	7186 10892 
ITGA10-ITGB1 complex	8515 3688 
p53 homotetramer	7157 
WCRF complex	8467 11177 
SMAD3-SMAD4-CTCF protein-DNA complex	10664 4088 4089 
STAGA complex (SPT3-TAF9-GCN5 acetyltransferase complex)	6314 8464 10474 27097 9913 6881 23450 6883 6880 2648 117143 8295 10629 
CTGF/Hcs24-actin complex	1490 60 71 
BRAFT complex	2189 2175 6118 6117 6119 4292 641 2176 7156 80010 2178 2188 55120 
ASF1-interacting protein complex	7290 8968 10036 8208 55723 25842 
AP4 adaptor complex	9179 23431 10717 
LLGL1-PAR-6B-aPKC complex	5584 3996 84612 
ACTR-p300-PCAF complex	2033 1387 8850 8202 
ITGA5-ITGB1-CAL4A3 complex	3688 3678 
SHARP-CtIP-RBP-Jkappa complex	3516 23013 5932 
TRF-Rap1 complex I, 2MD	8658 7013 7014 26277 25913 54386 
BLOC-3 (biogenesis of lysosome-related organelles complex 3)	3257 89781 
FOXO3-SIRT1 complex, oxidative stress stimulated	2309 23411 
FACT complex, UV-activated	1459 1460 1457 6749 11198 
TFIIA complex	2957 2958 
BRD4-P-TEFb complex	904 23476 1025 
LSm1-7 complex	27257 648229 11157 51690 57819 23658 25804 
DDB2 complex	9318 9978 2873 8451 652672 10980 1643 10987 10920 51138 8533 64708 50813 
RICH1/AMOT polarity complex, Flag-Amot precipitated	8777 154796 55114 143098 154810 64398 10207 51421 
ARC complex	9443 9282 9862 10001 9441 892 1024 9412 5469 81857 9968 51586 9440 9969 9439 
SNARE complex (HGS, SNAP25, STX13)	9146 6616 23673 
6S methyltransferase and RG-containing Sm proteins complex	6628 1207 6635 6636 6637 6632 119358 6634 
Ubiquitin E3 ligase (ASB7, TCEB1, TCEB2, CUL5, RNF7)	649647 6923 8065 140460 9616 
ITGA2b-ITGB3-TLN1 complex	3690 3674 7094 
ITGA6-ITGB4-SHC1-GRB2 complex	3691 3655 6464 2885 
MT1-MMP-claudin-1 complex	9076 4323 
20S methyltranserase core complex	10419 1207 
PCNA-MutS-alpha-MutL-alpha-DNA complex	5111 4292 4436 2956 5395 
DMAP1-associated complex	86 6944 10847 57634 10902 80314 55929 10856 8607 8295 
eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)	339799 8664 8667 8666 8669 8662 3646 8668 8661 10480 8663 27335 51386 
ING2 complex	8819 5926 648695 3065 5931 84312 3066 25942 79595 3622 64426 25855 
RAD52-ERCC4-ERCC1 complex	2067 5893 2072 
GNAQ-GEFT-RHOA complex	2776 387 115557 
SMG-1-Upf1-eRF1-eRF3 complex (SURF)	2107 5976 23049 2935 23708 
Ubiquitin E3 ligase (SKP1A, BTRC, CUL1)	6500 8454 8945 
BCDX2 complex	5890 5889 7516 5892 
MAF2 complex	84148 10934 
Ubiquitin E3 ligase (NIPA, SKP1A, CUL1, RBX1)	9978 6500 8454 51530 
Ubiquitin E3 ligase (GLMN, FBXW8, SKP1A, RBX1)	9978 6500 26259 11146 
APP-FE65-LRP complex	322 351 4035 
Polycystin-1-E-cadherin-beta-catenin-Flotillin-2 complex	999 1499 5310 2319 
ITGA3-ITGB1-BSG complex	3688 3675 682 
Elongator holo complex	8518 55250 26610 55140 
PCNA-PAF complex	5111 9768 
ER-alpha-c-Jun complex	2099 3725 
Upf complex (UPF1, UPF2, UPF3a)	5976 65110 26019 
Respiratory chain complex I (early intermediate NDUFAF1 assembly), mitochondrial	374291 4722 4712 4535 4700 4704 51103 
BRMS1-RBP1 complex	51742 25855 
SNAPc (small nuclear RNA-activating protein) complex	10302 6618 6617 6621 6619 
BKCA–beta2AR complex	154 
exon junction complex (F4A3-MLN51-UPF3B-MAGOH-Y14-PYM)	22794 9775 4116 65109 84305 9939 
DNMT3B complex	8467 285643 3065 25942 10051 1789 
Farnesyltransferase	2339 2342 
Remodeling and spacing factor (RSF) complex	8467 51773 
MYC-MAX complex	4609 4149 
9-1-1 complex	5810 3364 5883 
BCL6-HDAC5 complex	604 10014 
IKK-alpha--ER-alpha-AIB1 complex	1147 2099 8202 
POSH-MLK3 complex	4296 
